	zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta18g01980	3150396.28989936	3929968.75695625	2266034.93816962	2885854.38386074	3033564.87587934	4101626.38393258	2722344.70260661	2914765.16676123	2316564.92147187	1409566.87887823	1767346.61389564	2477977.66701142	1589027.65292022	2358093.78494679	2339884.87048346	1808781.91212174	1844798.0685256	2317073.14972658
ostta01g00190	2457789.82827737	3299818.49997767	1469798.8289759	3176377.75290234	2320514.03605858	2586958.56562516	2290653.20290803	2280812.88064795	1819620.60296324	2463900.28933243	2549564.40380256	1224181.11104864	3091506.60169578	3712737.0314239	1167149.30717045	3491237.54786519	3051224.40785711	3265236.78675384
ostta10g01110	1353189.58230584	1213006.63330801	672858.826879567	1290571.84438092	1528779.45445287	1624035.88699837	1227705.49298561	1328509.67977284	773975.799989268	1098406.89849376	887456.610554917	775449.442982436	1360118.01023684	1434410.05562871	852988.172968802	1409782.66514075	1163002.9741321	1024079.30379766
ostta01g04340	2833576.77896686	3617724.80689492	2337374.67243691	2715705.36483683	2771049.53926222	3238589.21307188	2760403.87508739	2925631.07764804	2688273.7820636	2506240.87029059	2595836.82382372	2261653.80010664	2799921.67787467	3129846.1362207	2371261.79120197	3086337.45919246	3000014.3915514	3115078.39300018
ostta06g03620	1611994.74899142	1867119.02527532	2633151.0126425	2183132.41496764	1889141.85612088	2073745.79681663	2711572.39187031	2651632.87111004	3458920.49433752	2037377.01187115	2161109.60864945	6245231.03755067	2092025.81196808	2309553.93183084	8388985.15949202	1921039.00186056	1895027.34021728	2309550.34629438
ostta02g01020	7094554.77072203	8971776.16204528	4326231.82071189	7416383.29334969	7289737.17713546	7939679.46636251	6806198.05202892	7369415.18799458	4114304.65394259	7918580.70748745	7126036.23858231	4285569.15101677	8806428.19522758	9211800.40136221	5033587.02899123	8988468.65453204	8237145.47919897	8110814.01189806
ostta02g04360	1266924.42614647	1546471.15997736	358391.609118319	1677662.82477159	1348432.85248074	1494398.89759234	1558348.70222344	1390610.16913998	405857.664173182	864008.404060071	1161670.99334701	265042.539723239	1009510.41125953	1565056.98829125	114235.375482361	1443081.06233319	1610858.71462731	2031355.72922747
ostta01g00620	3295042.22818623	3520959.97620374	2628014.11705143	3178757.57597842	2480288.51631185	3441356.42673275	2415940.40625617	3024332.44362071	2037457.96408816	3569410.7877259	3367080.93018257	2768008.48174378	4096356.19017858	2885612.02421904	2708090.35595578	4528357.24376656	3554526.67257652	3328555.59169532
ostta03g01510	2210222.16357593	1826481.34061138	1647323.8197504	1872107.73959415	2149973.32025601	2013894.15438506	1994405.20877796	1918554.02125427	1372015.085055	1942285.64321619	2106530.46688123	1314900.77722513	2383121.2434041	2054190.01838833	1293488.04885427	2266649.31749258	2076447.59277666	2324837.18517113
ostta04g04040	6809073.19950279	8668418.91582217	7659195.52178056	7340855.09597755	6393261.50418629	6965521.3209269	6517271.9948701	6457168.9064847	7095724.87795308	7670312.84223327	6718259.62007782	6558427.47601096	6721860.34259295	7483790.68390268	7046060.02699491	7232647.26530779	7527990.70364143	7524705.19107207
ostta04g02610	1891653.01460437	1213859.95244695	1713257.9389351	1413582.56166708	2165420.36503097	1273624.27594267	1673964.11541161	1457880.17714323	1824381.39580879	1820686.09472326	1924741.74812161	1443237.51858197	2068860.15977183	1284617.60587076	1988091.77525466	1685915.80250447	1754839.47271389	1247191.31682175
ostta01g01720	1381668.87239111	1677466.33751065	995305.645012626	1480722.92803449	1244508.14523708	1481669.29472795	1253050.21245626	1209886.0401904	871800.211113713	1328353.88766898	941964.069836239	766412.118277603	1370684.98750139	1343174.1800735	703225.18862106	1075428.09285201	1151589.06938367	1254427.34548534
ostta03g02820	4100441.76433733	4454472.26253014	3616276.74589642	4617766.22575465	4331360.73023508	4599290.68370242	4590655.47065251	4632288.69215863	4488615.94026937	3784611.27955194	3938318.44651447	3903478.66586116	4180485.97668901	4815780.52041969	3798688.78373045	4759835.42348814	4366833.91968628	4456295.58600072
ostta04g03100	605662.896958854	907379.779360558	536739.579728112	716325.784499848	477448.203103143	716428.004008076	474624.438900149	529379.75072147	662146.209476662	287130.066165158	208418.573860798	511360.17923569	517636.469827971	543293.789245102	334855.258717138	420172.137561061	498033.6295808	586537.5862225
ostta10g01360	2144830.27445084	2995821.10731133	1150288.98219966	2344588.00150443	2558380.74692121	3053187.74480138	2116223.85175433	2531782.19567982	1032731.85134614	1993611.73597073	1869296.15101076	853997.394407907	2288236.11977569	2695103.10455935	1381895.46260237	2070316.88624335	2348348.14871106	2238014.64378947
ostta07g04330	1773908.74121072	1908272.27112623	2335032.40710406	1787282.27046022	1690195.25396501	1547675.83283905	1965867.01964738	1521507.44884579	2157063.4206768	1779902.017892	964622.821026184	1613318.38716039	1678981.78527789	2074469.66577215	1968313.23460712	1561874.45762678	1836093.00752482	1108541.21719753
ostta10g00920	4821941.23466458	6971417.41805482	2892182.62500785	4963187.92228683	5814446.26693307	5844477.38403483	2530459.86120025	3482421.34550046	5218813.65973274	927777.140274482	1808681.41087541	1907634.90936595	2065377.2339005	2982091.08585411	1444120.75327661	1644916.4001441	3753851.33417574	4662456.08828801
ostta02g05070	1042545.30939872	1323647.29849929	558853.112915151	523329.930933906	971586.882879929	1056160.69418574	853475.759156435	918890.893371192	1165665.83276914	642203.211818281	546462.616406801	554925.746500909	864259.830452746	881677.450841557	753747.259150842	1184277.3112366	1066792.0990911	1157928.53188073
ostta13g02260	34432855.3800331	40739501.0923483	61359961.7959072	36267249.520449	36277068.6308647	39816225.8795247	36446343.5398181	39374543.7675	61336205.6678246	38990554.0118087	40954638.1619226	63370991.3324628	42502625.0375087	51788627.0745928	57272877.8513604	56629486.1121673	46496977.496179	59238266.5231975
