zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta12g02960	4825972.80451003	6718977.68707265	4615057.59262613	4989025.85830081	6824394.35048609	3645806.67055065	3747896.10998186	4798568.2764715	3499811.62146061	4457661.17271218	6236650.2823535	4269565.89473111	5688187.01600355	5057740.39576653	4316516.70985136	5439290.06310648	7095045.43617305	4601892.72760242
ostta13g02500	5288625.11513467	5262667.94387262	4509377.70457164	5771037.43577646	4602637.07033815	4060536.45869128	5610803.05891181	4694543.29931277	3676815.41034662	6939927.37054509	4170795.04684703	3948042.13015523	5772975.37508882	3990785.0479988	3837113.67135361	5113849.25436128	5135334.8035932	4504229.00219677
ostta09g00960	5017058.74331195	4202012.9548306	2999868.50475154	5072048.25583374	4418519.19351166	3418061.36051308	6092770.57033261	5566943.03980361	4550241.95043918	5818178.84801975	5832632.41887293	3819774.92202404	6128689.80465567	4766375.29094053	3296049.72393069	4444029.83599595	5329945.3568801	2991103.07999378
ostta02g01020	8750317.81184376	9275928.22386161	10050734.940076	8178270.60476451	10209241.0922275	9127454.92402453	7678410.1880437	7714439.13482256	7645196.58157408	11998322.7276666	10303210.8380278	7567426.49849116	9688899.89347869	7138167.80674433	9100272.85239081	8771991.03873879	10942856.9415287	10053791.571539
ostta10g00930	3142675.9095744	3797967.03122692	2315811.0261524	4127261.95555393	4128698.13840569	3521106.65222539	3837928.38161824	3542977.593221	3312194.89413582	5056503.83561737	3801892.77441898	2180153.25298575	4072192.94781516	3398068.98370257	2516930.25314591	3258707.90250686	3759768.20381116	2310385.08163317
ostta03g00870	5314240.09679707	6557929.54307805	5227030.57867731	5164253.63649272	6787886.10830685	4136583.4028058	5333263.68929345	5704724.08268047	4479696.35154846	9590244.17476885	5342414.50329715	5791884.3323089	7598575.26025102	4746390.71032935	5883864.14056794	6415003.99485005	7780193.60177647	5228776.64494164
ostta01g01500	26100323.4737532	20216701.6661574	31099936.1551134	26141140.9204007	19761483.7076705	25800941.4768059	24518775.4780886	18843642.4077662	26946533.6029684	17381569.5726567	25560727.5076039	24491845.6718833	26587562.2424424	19254873.9290982	29155265.0142838	25945870.5857648	20888289.3111872	31106507.7434247
ostta16g02190	5426197.02195637	5450145.10270291	959717.659597653	2949304.04472612	3461298.53043796	1048001.55930504	3268883.14422751	2772891.39618119	914604.082112198	4067739.41603123	3941034.44172251	1259703.71324333	2676581.24304327	1564070.13750746	1336587.55483349	1499260.46709998	3062535.43041532	958309.130201017
ostta02g00670	3164853.9056985	3937223.1140129	3778539.06555907	3234554.01486523	4834066.37550702	3803254.46334175	3216402.58237091	3180792.13198112	3746315.54822262	4320286.48705208	3892363.35417654	3479921.69381642	3452878.3359231	3341327.37406346	3131099.37645256	3125251.31376743	4850749.78016565	3763733.63449075
ostta07g04290	2139937.65413292	2076726.73736652	1594159.93279861	1860987.60989111	1307055.19149046	1806557.58400804	1670371.31015192	1221113.79786167	1252476.94374958	2830574.37048777	1842178.60316229	1333558.99611105	1882668.46657626	1632953.35108932	1557093.90135722	2097614.39758852	1739384.40213377	1591450.73326038
